Season	Team	Round	HomeAway	Time	Player	X	Y	Goal	ShotOnGoal	PK	TimeBin	ShotType
07/08	Manchester United	30	Home	36	17	352	80	n	n	n	31-45	s
07/08	Manchester United	30	Home	40	32	362	133	n	y	n	31-45	o
07/08	Manchester United	30	Home	45	9	362	126	n	n	n	31-45	s
07/08	Manchester United	30	Home	45	22	345	144	n	n	n	31-45	s
07/08	Manchester United	30	Home	45	24	315	170	n	y	n	31-45	o
07/08	Manchester United	30	Home	47	17	326	102	n	y	n	46-60	o
07/08	Manchester United	30	Home	66	7	343	133	n	y	n	61-75	o
07/08	Manchester United	30	Home	66	9	354	143	n	y	n	61-75	o
07/08	Manchester United	30	Home	68	9	323	179	n	n	n	61-75	s
07/08	Manchester United	30	Home	75	17	323	170	n	n	n	61-75	s
07/08	Manchester United	30	Home	79	17	341	123	n	y	n	76-90	o
07/08	Manchester United	30	Home	79	7	352	124	n	y	n	76-90	o
07/08	Manchester United	30	Home	84	17	326	161	n	n	n	76-90	s
07/08	Manchester United	30	Home	86	32	372	156	n	n	n	76-90	s
07/08	Manchester United	30	Home	90	10	314	106	n	y	n	76-90	o
07/08	Manchester United	31	Home	6	10	351	132	n	y	n	0-15	o
07/08	Manchester United	31	Home	21	3	300	95	n	y	n	16-30	o
07/08	Manchester United	31	Home	21	11	300	170	n	y	n	16-30	o
07/08	Manchester United	31	Home	24	7	375	117	n	n	n	16-30	s
07/08	Manchester United	31	Home	34	6	369	145	y	y	n	31-45	g
07/08	Manchester United	31	Home	40	7	271	95	n	y	n	31-45	o
07/08	Manchester United	31	Home	40	10	363	133	n	y	n	31-45	o
07/08	Manchester United	31	Home	41	8	311	103	n	n	n	31-45	s
07/08	Manchester United	31	Home	45	10	317	96	n	y	n	31-45	o
07/08	Manchester United	31	Home	47	7	365	120	n	y	n	46-60	o
07/08	Manchester United	31	Home	54	7	326	108	n	n	n	46-60	s
07/08	Manchester United	31	Home	55	10	310	175	n	y	n	46-60	o
07/08	Manchester United	31	Home	56	8	310	170	n	n	n	46-60	s
07/08	Manchester United	31	Home	59	10	353	144	n	y	n	46-60	o
07/08	Manchester United	31	Home	60	7	310	95	n	n	n	46-60	s
07/08	Manchester United	31	Home	61	8	328	95	n	y	n	61-75	o
07/08	Manchester United	31	Home	66	7	300	30	n	y	n	61-75	o
07/08	Manchester United	31	Home	73	8	315	170	n	n	n	61-75	s
07/08	Manchester United	31	Home	74	32	354	128	n	y	n	61-75	o
07/08	Manchester United	31	Home	79	7	371	127	y	y	n	76-90	g
07/08	Manchester United	31	Home	79	7	365	185	n	y	n	76-90	o
07/08	Manchester United	31	Home	81	17	333	134	y	y	n	76-90	g
07/08	Manchester United	31	Home	88	17	310	82	n	n	n	76-90	s
07/08	Manchester United	32	Home	6	10	312	168	n	y	n	0-15	o
07/08	Manchester United	32	Home	11	7	326	184	n	y	n	0-15	o
07/08	Manchester United	32	Home	12	6	351	134	n	n	n	0-15	s
07/08	Manchester United	32	Home	17	7	362	142	y	n	n	16-30	s
07/08	Manchester United	32	Home	33	32	364	80	y	n	n	31-45	s
07/08	Manchester United	32	Home	45	10	284	95	n	n	n	31-45	s
07/08	Manchester United	32	Home	49	10	335	130	n	n	n	46-60	s
07/08	Manchester United	32	Home	52	7	352	184	n	y	n	46-60	o
07/08	Manchester United	32	Home	53	10	374	116	y	n	n	46-60	s
07/08	Manchester United	32	Home	63	32	359	194	n	n	n	61-75	s
07/08	Manchester United	32	Home	64	32	375	149	n	n	n	61-75	s
07/08	Manchester United	32	Home	68	10	344	198	n	n	n	61-75	s
07/08	Manchester United	32	Home	70	10	334	80	y	n	n	61-75	s
07/08	Manchester United	32	Home	86	32	362	187	n	n	n	76-90	s
07/08	Manchester United	33	Away	5	10	50	80	n	n	n	0-15	s
07/08	Manchester United	33	Away	9	7	100	170	n	y	n	0-15	o
07/08	Manchester United	33	Away	10	7	10	148	y	y	n	0-15	g
07/08	Manchester United	33	Away	19	11	50	185	n	n	n	16-30	s
07/08	Manchester United	33	Away	20	10	33	80	n	y	n	16-30	o
07/08	Manchester United	33	Away	30	7	33	185	n	n	n	16-30	s
07/08	Manchester United	33	Away	45	7	70	96	n	y	n	31-45	o
07/08	Manchester United	33	Away	45	10	79	109	n	y	n	31-45	o
07/08	Manchester United	33	Away	63	18	60	197	n	n	n	61-75	s
07/08	Manchester United	33	Away	72	10	63	96	n	n	n	61-75	s
07/08	Manchester United	33	Away	74	10	43	93	y	y	n	61-75	g
07/08	Manchester United	33	Away	75	19	20	161	n	n	n	61-75	s
07/08	Manchester United	33	Away	83	18	70	170	n	n	n	76-90	s
07/08	Manchester United	33	Away	88	10	10	117	n	y	n	76-90	o
07/08	Manchester United	33	Away	90	10	61	185	n	n	n	76-90	s
07/08	Manchester United	34	Home	11	7	301	96	n	y	n	0-15	o
07/08	Manchester United	34	Home	15	13	334	133	n	n	n	0-15	s
07/08	Manchester United	34	Home	19	10	344	143	n	n	n	16-30	s
07/08	Manchester United	34	Home	23	10	374	117	n	y	n	16-30	o
07/08	Manchester United	34	Home	36	10	351	133	n	y	n	31-45	o
07/08	Manchester United	34	Home	36	5	363	143	n	n	n	31-45	s
07/08	Manchester United	34	Home	45	10	311	106	n	y	n	31-45	o
07/08	Manchester United	34	Home	45	7	301	170	n	y	n	31-45	o
07/08	Manchester United	34	Home	54	7	362	133	y	y	y	46-60	g
07/08	Manchester United	34	Home	57	10	344	134	n	n	n	46-60	s
07/08	Manchester United	34	Home	64	32	284	170	n	n	n	61-75	s
07/08	Manchester United	34	Home	71	10	364	123	n	y	n	61-75	o
07/08	Manchester United	34	Home	72	4	311	95	y	y	n	61-75	g
07/08	Manchester United	34	Home	81	7	351	80	n	n	n	76-90	s
07/08	Manchester United	35	Away	6	7	85	96	n	y	n	0-15	o
07/08	Manchester United	35	Away	29	7	94	107	n	y	n	16-30	o
07/08	Manchester United	35	Away	43	7	31	131	n	y	n	31-45	o
07/08	Manchester United	35	Away	52	7	83	171	n	y	n	46-60	o
07/08	Manchester United	35	Away	62	17	94	177	n	n	n	61-75	s
07/08	Manchester United	35	Away	65	10	44	144	n	y	n	61-75	o
07/08	Manchester United	35	Away	65	7	93	169	n	n	n	61-75	s
07/08	Manchester United	35	Away	79	32	39	131	n	y	n	76-90	o
07/08	Manchester United	35	Away	79	10	50	185	n	y	n	76-90	o
07/08	Manchester United	35	Away	85	10	40	122	n	y	n	76-90	o
07/08	Manchester United	35	Away	87	22	10	150	n	y	n	76-90	o
07/08	Manchester United	35	Away	88	32	10	117	y	n	n	76-90	s
07/08	Manchester United	35	Away	90	18	70	99	n	n	n	76-90	s
07/08	Manchester United	36	Away	15	17	83	96	n	n	n	0-15	s
07/08	Manchester United	36	Away	57	10	50	133	y	y	n	46-60	g
07/08	Manchester United	36	Away	63	11	100	96	n	y	n	61-75	o
07/08	Manchester United	36	Away	68	7	69	170	n	y	n	61-75	o
07/08	Manchester United	36	Away	78	7	93	108	n	y	n	76-90	o
07/08	Manchester United	36	Away	89	7	33	133	n	y	n	76-90	o
07/08	Manchester United	36	Away	90	27	41	143	n	y	n	76-90	o
07/08	Manchester United	37	Home	3	7	352	186	y	y	n	0-15	g
07/08	Manchester United	37	Home	24	7	375	117	y	y	n	16-30	g
07/08	Manchester United	37	Home	26	32	285	96	y	y	n	16-30	g
07/08	Manchester United	37	Home	59	16	302	96	y	y	n	46-60	g
07/08	Manchester United	37	Home	63	4	302	170	n	n	n	61-75	s
07/08	Manchester United	37	Home	71	24	362	197	n	n	n	61-75	s
07/08	Manchester United	37	Home	75	4	312	107	n	n	n	61-75	s
07/08	Manchester United	37	Home	89	32	335	186	n	n	n	76-90	s
07/08	Manchester United	38	Away	8	7	86	96	n	n	n	0-15	s
07/08	Manchester United	38	Away	16	5	36	83	n	n	n	16-30	s
07/08	Manchester United	38	Away	19	18	84	170	n	n	n	16-30	s
07/08	Manchester United	38	Away	25	7	111	171	n	y	n	16-30	o
07/08	Manchester United	38	Away	33	7	33	134	y	n	n	31-45	s
07/08	Manchester United	38	Away	49	7	101	99	n	y	n	46-60	o
07/08	Manchester United	38	Away	54	7	41	146	n	n	n	46-60	s
07/08	Manchester United	38	Away	56	10	64	171	n	y	n	46-60	o
07/08	Manchester United	38	Away	59	32	52	133	n	y	n	46-60	o
07/08	Manchester United	38	Away	61	32	69	94	n	y	n	61-75	o
07/08	Manchester United	38	Away	73	15	10	148	n	n	n	61-75	s
07/08	Manchester United	38	Away	80	11	43	137	y	n	n	76-90	s
